lab,sub_num,trial_type,trial_num,looking_time
babylabbrookes,1,IDS,1,4.33
babylabbrookes,2,ADS,1,3.14
babylabbrookes,3,IDS,1,9.33
babylabbrookes,4,ADS,1,13.47
babylabbrookes,5,ADS,1,5.344
babylabbrookes,6,ADS,1,10.888
babylabbrookes,7,IDS,1,13.861
babylabbrookes,8,ADS,1,14.601
babylabbrookes,9,ADS,1,9.744
babylabbrookes,10,ADS,1,17.728
babylabbrookes,11,ADS,1,7.312
babylabbrookes,12,ADS,1,16.448
babylabbrookes,13,ADS,1,11.26
babylabbrookes,14,IDS,1,18
babylabbrookes,15,ADS,1,18
babylabbrookes,16,ADS,1,5.89
babylabbrookes,17,ADS,1,11.19
babylabbrookes,18,IDS,1,4.62
babylabbrookes,19,IDS,1,13.35
babylabbrookes,20,IDS,1,12.22
babylabbrookes,21,ADS,1,18
babylabbrookes,22,IDS,1,9.87
babylabbrookes,23,IDS,1,8.88
babylabbrookes,24,IDS,1,9.25
babylabbrookes,25,ADS,1,7.6
babylabbrookes,26,IDS,1,5.11
babylabbrookes,27,ADS,1,17.36
babylabbrookes,28,IDS,1,17.15
babylabbrookes,29,IDS,1,17.44
babylabbrookes,30,ADS,1,17.55
babylabbrookes,31,IDS,1,17.5
babylabbrookes,32,ADS,1,6.74
babylabbrookes,33,ADS,1,2.54
babylabbrookes,34,ADS,1,6.65
babylabbrookes,35,ADS,1,17.59
babylabbrookes,36,ADS,1,4.43
babylabbrookes,37,ADS,1,6.2
babylabbrookes,38,IDS,1,16.27
babylabbrookes,39,ADS,1,17.39
babylabbrookes,40,IDS,1,9.2
babylabbrookes,41,IDS,1,13.85
babylabbrookes,42,IDS,1,9.06
babylabbrookes,43,ADS,1,17.43
babylabbrookes,44,IDS,1,6.44
babylabbrookes,45,ADS,1,7.18
babylabbrookes,46,ADS,1,NA
babylabbrookes,47,ADS,1,4.72
babylabbrookes,48,ADS,1,8.19
babylabbrookes,49,ADS,1,11.66
babylabbrookes,50,ADS,1,7.08
babylabbrookes,51,ADS,1,17.49
babylabbrookes,52,IDS,1,17.23
babylabbrookes,53,IDS,1,17.45
babylabkingswood,54,ADS,1,18
babylabkingswood,55,ADS,1,11.492
babylabkingswood,56,IDS,1,5.333
babylabkingswood,57,IDS,1,8.198
babylabkingswood,58,IDS,1,11.332
babylabkingswood,59,ADS,1,13.374
babylabkingswood,60,ADS,1,7.506
babylabkingswood,61,ADS,1,4.218
babylabkingswood,62,IDS,1,18
babylabkingswood,63,ADS,1,2.436
babylabkingswood,64,ADS,1,14.871
babylabkingswood,65,ADS,1,2.273
babylabkingswood,66,IDS,1,18
babylabkingswood,67,IDS,1,14.342
babylabkingswood,68,IDS,1,2.27
babylabkingswood,69,IDS,1,2.014
babylabkingswood,70,IDS,1,NA
babylabkingswood,71,IDS,1,18
babylabkingswood,72,ADS,1,2.78
babylabkingswood,73,ADS,1,3.539
babylabkingswood,74,IDS,1,18
babylabkingswood,75,IDS,1,NA
babylabkingswood,76,ADS,1,6.622
babylabkingswood,77,IDS,1,18
babylabkingswood,78,IDS,1,18
babylabkingswood,79,IDS,1,3.562
babylabkingswood,80,ADS,1,5.509
babylabkingswood,81,ADS,1,4.514
babylabkingswood,82,IDS,1,18
babylabkingswood,83,IDS,1,8.561
babylabkingswood,84,ADS,1,6.331
babylabkingswood,85,IDS,1,15.794
babylabkonstanz,86,IDS,1,8.17
babylabkonstanz,87,IDS,1,17.67
babylabkonstanz,88,IDS,1,9.15
babylabkonstanz,89,ADS,1,15.89
babylabkonstanz,90,IDS,1,12.81
babylabkonstanz,91,ADS,1,10.26
babylabkonstanz,92,ADS,1,16.07
babylabkonstanz,93,IDS,1,16.03
babylabkonstanz,94,IDS,1,16.28
babylabkonstanz,95,ADS,1,16.8
babylabkonstanz,96,IDS,1,8.96
babylabkonstanz,97,ADS,1,15.07
babylabkonstanz,98,ADS,1,18
babylabkonstanz,99,IDS,1,18
babylabkonstanz,100,ADS,1,14.8
babylablangessex,101,ADS,1,NA
babylablangessex,102,IDS,1,7.974
babylablangessex,103,NA,1,NA
babylablangessex,104,IDS,1,2.267
babylablangessex,105,ADS,1,NA
babylablangessex,106,IDS,1,NA
babylablangessex,103,NA,1,NA
babylablangessex,107,IDS,1,17.206
babylablangessex,108,ADS,1,10.512
babylablangessex,109,IDS,1,13.623
babylablangessex,110,ADS,1,13.914
babylablangessex,111,ADS,1,17.32
babylablangessex,112,IDS,1,15.807
babylablangessex,113,ADS,1,NA
babylablangessex,114,IDS,1,NA
babylablangessex,103,NA,1,NA
babylablangessex,115,IDS,1,NA
babylablangessex,116,ADS,1,NA
babylablangessex,117,IDS,1,14.218
babylablangessex,118,ADS,1,6.049
babylablangessex,119,ADS,1,10.97
babylablangessex,120,IDS,1,4.914
babylablangessex,121,ADS,1,14.749
babylablangessex,122,IDS,1,3.887
babylablangessex,123,ADS,1,NA
babylablangessex,124,ADS,1,3.538
babylablangessex,125,ADS,1,12.056
babylableiden,103,NA,1,NA
babylableiden,126,ADS,1,6.8
babylableiden,127,ADS,1,14.97
babylableiden,128,IDS,1,14.23
babylableiden,129,ADS,1,14.94
babylableiden,130,IDS,1,9.28
babylableiden,131,ADS,1,4.04
babylableiden,132,IDS,1,15.94
babylableiden,133,IDS,1,14.23
babylableiden,103,NA,1,NA
babylableiden,134,IDS,1,14.32
babylableiden,103,NA,1,NA
babylableiden,135,IDS,1,15.72
babylableiden,136,ADS,1,11.73
babylableiden,137,ADS,1,4.09
babylablmu,138,ADS,1,NA
babylablmu,103,NA,1,NA
babylablmu,139,ADS,1,2.46
babylablmu,140,IDS,1,3.72
babylablmu,141,ADS,1,3.18
babylablmu,142,IDS,1,7.17
babylablmu,143,IDS,1,10.92
babylablmu,144,IDS,1,4.25
babylablmu,145,ADS,1,3.83
babylablmu,146,ADS,1,4.48
babylablmu,147,IDS,1,2.67
babylablmu,148,ADS,1,2.29
babylablmu,149,IDS,1,5.42
babylablmu,150,ADS,1,4.38
babylablmu,151,IDS,1,8.72
babylablmu,152,IDS,1,13.74
babylablmu,153,IDS,1,5.33
babylablmu,154,IDS,1,NA
babylablmu,155,IDS,1,6.58
babylablmu,156,IDS,1,11.14
babylablmu,157,IDS,1,13.05
babylablmu,158,IDS,1,5.71
babylablmu,159,IDS,1,6.24
babylablmu,160,IDS,1,16.29
babylablmu,161,IDS,1,4.49
babylablmu,162,ADS,1,2.98
babylablmu,163,IDS,1,NA
babylablmu,164,ADS,1,7.8
babylablmu,165,ADS,1,4.32
babylablmu,166,IDS,1,7.74
babylablmu,167,ADS,1,NA
babylablmu,168,IDS,1,7.13
babylablmu,169,ADS,1,10.92
babylablmu,170,IDS,1,NA
babylablmu,171,ADS,1,2.07
babylablmu,172,IDS,1,2.58
babylablmu,173,ADS,1,3.06
babylablmu,174,IDS,1,NA
babylablmu,175,IDS,1,NA
babylablmu,176,IDS,1,2.57
babylablmu,177,IDS,1,12.91
babylablmu,178,ADS,1,5.28
babylablmu,179,ADS,1,NA
babylablmu,180,IDS,1,6.32
babylablmu,181,IDS,1,9.84
babylablmu,182,ADS,1,2.2
babylablmu,183,IDS,1,7.12
babylablmu,184,ADS,1,9.26
babylablmu,185,IDS,1,NA
babylablmu,186,IDS,1,4.32
babylablmu,103,NA,1,NA
babylablmu,187,ADS,1,7.8
babylablmu,188,ADS,1,3.66
babylablmu,189,IDS,1,2.62
babylablmu,190,ADS,1,NA
babylablmu,191,ADS,1,11.57
babylablmu,192,ADS,1,3.77
babylablmu,193,IDS,1,4.56
babylablmu,194,ADS,1,4.92
babylablmu,195,IDS,1,NA
babylablmu,196,ADS,1,6.64
babylablmu,197,IDS,1,8.17
babylabnijmegen,198,IDS,1,17.48
babylabnijmegen,199,IDS,1,6.66
babylabnijmegen,103,NA,1,NA
babylabnijmegen,200,ADS,1,17.55
babylabnijmegen,201,IDS,1,17.23
babylabnijmegen,202,IDS,1,14.26
babylabnijmegen,203,ADS,1,13.58
babylabnijmegen,204,IDS,1,5.63
babylabnijmegen,205,IDS,1,14.04
babylabnijmegen,206,ADS,1,16.8
babylabnijmegen,207,ADS,1,18
babylabnijmegen,208,ADS,1,15.12
babylabnijmegen,209,IDS,1,15.13
babylabnijmegen,210,IDS,1,18
babylabnijmegen,211,IDS,1,17.41
babylabnijmegen,212,IDS,1,16.42
babylabnijmegen,213,ADS,1,13.62
babylabnijmegen,214,ADS,1,13.76
babylabnijmegen,215,ADS,1,18
babylabnijmegen,216,ADS,1,14.48
babylabnijmegen,217,IDS,1,18
babylabnijmegen,218,IDS,1,18
babylabnijmegen,219,IDS,1,15.83
babylabnijmegen,220,IDS,1,7.83
babylabnijmegen,221,ADS,1,17.88
babylabnijmegen,222,ADS,1,16.96
babylabnijmegen,223,IDS,1,16.1
babylabnijmegen,224,ADS,1,16.94
babylabnijmegen,225,ADS,1,15.85
babylabnijmegen,226,ADS,1,15.39
babylabnijmegen,227,IDS,1,16.92
babylabnijmegen,228,IDS,1,4.95
babylabnijmegen,229,ADS,1,11.74
babylabnijmegen,230,ADS,1,18
babylabnijmegen,231,ADS,1,5.09
babylabnijmegen,232,IDS,1,2.96
babylabnijmegen,233,IDS,1,7.21
babylabnijmegen,234,IDS,1,15.69
babylabnijmegen,235,IDS,1,18
babylabnijmegen,236,IDS,1,5.22
babylabnijmegen,237,IDS,1,15.82
babylabnijmegen,238,ADS,1,16.08
babylabnijmegen,239,IDS,1,17.49
babylabnijmegen,240,IDS,1,15.89
babylabnijmegen,241,ADS,1,2.22
babylabnijmegen,242,ADS,1,6.56
babylabnijmegen,243,IDS,1,12.22
babylabnijmegen,244,ADS,1,4.16
babylabnijmegen,245,IDS,1,13.76
babylabparisdescartes1,246,IDS,1,13.12
babylabparisdescartes1,247,ADS,1,5.781
babylabparisdescartes1,248,ADS,1,15.309
babylabparisdescartes1,249,IDS,1,10.082
babylabparisdescartes1,250,IDS,1,5.922
babylabparisdescartes1,251,ADS,1,2.717
babylabparisdescartes1,103,NA,1,NA
babylabparisdescartes1,252,IDS,1,6.854
babylabparisdescartes1,253,IDS,1,3.149
babylabparisdescartes1,254,ADS,1,6.391
babylabparisdescartes1,255,ADS,1,2.617
babylabparisdescartes1,256,IDS,1,14.071
babylabparisdescartes1,257,IDS,1,6.961
babylabparisdescartes1,258,ADS,1,9.579
babylabparisdescartes1,259,ADS,1,11.867
babylabparisdescartes1,260,IDS,1,10.471
babylabplymouth,261,IDS,1,13.53
babylabplymouth,262,ADS,1,14.86
babylabplymouth,263,IDS,1,14.76
babylabplymouth,264,ADS,1,16.03
babylabplymouth,265,IDS,1,11.68
babylabplymouth,266,ADS,1,14.93
babylabplymouth,267,IDS,1,16.94
babylabplymouth,268,ADS,1,5.43
babylabplymouth,269,IDS,1,8.46
babylabplymouth,270,ADS,1,5.07
babylabplymouth,271,IDS,1,17.96
babylabplymouth,272,ADS,1,17.7
babylabplymouth,273,IDS,1,7.11
babylabplymouth,274,ADS,1,12.48
babylabplymouth,275,IDS,1,14.95
babylabplymouth,276,ADS,1,12.41
babylabplymouth,277,IDS,1,4.86
babylabplymouth,278,IDS,1,7.92
babylabplymouth,279,IDS,1,7.13
babylabplymouth,280,ADS,1,8.3
babylabplymouth,281,IDS,1,11.43
babylabplymouth,282,ADS,1,14.26
babylabplymouth,283,IDS,1,11.21
babylabplymouth,284,ADS,1,12.19
babylabplymouth,285,IDS,1,15.47
babylabplymouth,286,ADS,1,11.46
babylabplymouth,287,IDS,1,5.84
babylabplymouth,288,ADS,1,9.43
babylabplymouth,289,IDS,1,14.32
babylabplymouth,290,ADS,1,14.83
babylabplymouth,291,IDS,1,4.85
babylabplymouth,292,ADS,1,14.96
babylabplymouth,293,IDS,1,6
babylabplymouth,294,ADS,1,6.45
babylabpotsdam,295,IDS,1,13.944
babylabpotsdam,296,IDS,1,12.668
babylabpotsdam,297,IDS,1,14.694
babylabpotsdam,298,ADS,1,14.257
babylabpotsdam,299,ADS,1,4.355
babylabpotsdam,300,ADS,1,9.656
babylabpotsdam,301,ADS,1,15.25
babylabpotsdam,302,ADS,1,6.443
babylabpotsdam,303,IDS,1,12.513
babylabpotsdam,304,IDS,1,14.758
babylabpotsdam,305,IDS,1,18
babylabpotsdam,306,IDS,1,14.654
babylabpotsdam,307,ADS,1,13.616
babylabpotsdam,308,ADS,1,13.163
babylabpotsdam,309,IDS,1,4.947
babylabpotsdam,310,IDS,1,16.27
babylabpotsdam,311,ADS,1,9.984
babylabpotsdam,312,ADS,1,6.371
babylabpotsdam,313,ADS,1,9.42
babylabpotsdam,314,IDS,1,6.819
babylabpotsdam,315,IDS,1,2.59
babylabpotsdam,316,IDS,1,17.405
babylabpotsdam,317,ADS,1,13.22
babylabpotsdam,318,IDS,1,10.759
babylabpotsdam,319,IDS,1,6.653
babylabpotsdam,320,IDS,1,15.917
babylabpotsdam,321,IDS,1,15.881
babylabpotsdam,322,IDS,1,11.833
babylabpotsdam,323,ADS,1,15.679
babylabpotsdam,324,ADS,1,18
babylabpotsdam,325,ADS,1,18
babylabpotsdam,326,IDS,1,16.465
babylabpotsdam,327,ADS,1,17.747
babylabpotsdam,328,ADS,1,18
babylabpotsdam,329,ADS,1,15.8
babylabpotsdam,330,IDS,1,16.512
babylabpotsdam,331,IDS,1,7.932
babylabpotsdam,332,ADS,1,12.537
babylabpotsdam,333,ADS,1,15.337
babylabpotsdam,334,ADS,1,18
babylabpotsdam,335,ADS,1,4.938
babylabpotsdam,336,IDS,1,11.451
babylabpotsdam,337,IDS,1,18
babylabpotsdam,338,ADS,1,2.664
babylabpotsdam,339,IDS,1,3.411
babylabpotsdam,340,ADS,1,4.39
babylabprinceton,341,IDS,1,11.798
babylabprinceton,342,ADS,1,12.832
babylabprinceton,343,IDS,1,16.097
babylabprinceton,344,ADS,1,14.464
babylabprinceton,345,ADS,1,14.131
babylabprinceton,103,NA,1,NA
babylabprinceton,346,ADS,1,7.704
babylabprinceton,347,ADS,1,6.68
babylabprinceton,348,ADS,1,16.593
babylabprinceton,349,IDS,1,NA
babylabprinceton,350,IDS,1,18
babylabprinceton,351,ADS,1,10.177
babylabprinceton,352,IDS,1,8.805
babylabprinceton,353,ADS,1,5.023
babylabprinceton,354,ADS,1,NA
babylabprinceton,355,IDS,1,5.125
babylabprinceton,356,ADS,1,14.826
babylabprinceton,357,IDS,1,8.994
babylabprinceton,358,ADS,1,15.921
babylabprinceton,359,IDS,1,18
babylabprinceton,360,ADS,1,14.329
babylabprinceton,361,IDS,1,17.19
babylabprinceton,362,ADS,1,3.945
babylabprinceton,363,ADS,1,4.713
babylabshimane,364,IDS,1,15.25
babylabshimane,365,IDS,1,10.66
babylabshimane,366,IDS,1,14.96
babylabshimane,367,ADS,1,10.7
babylabshimane,368,IDS,1,NA
babylabshimane,369,ADS,1,NA
babylabshimane,370,ADS,1,5.8
babylabshimane,371,IDS,1,7.39
babylabshimane,372,ADS,1,8.15
babylabshimane,373,ADS,1,7.08
babylabshimane,374,ADS,1,NA
babylabshimane,375,IDS,1,3.24
babylabshimane,376,ADS,1,2.27
babylabshimane,377,IDS,1,16.41
babylabshimane,378,IDS,1,14.35
babylabshimane,379,ADS,1,16.28
babylabshimane,380,IDS,1,9.94
babylabshimane,381,IDS,1,NA
babylabshimane,382,ADS,1,13.35
babylabshimane,383,ADS,1,9.03
babylabshimane,384,ADS,1,8.77
babylabshimane,385,ADS,1,2.73
babylabshimane,386,IDS,1,14.09
babylabshimane,387,IDS,1,4.44
babylabshimane,388,ADS,1,11.5
babylabshimane,389,IDS,1,5.72
babylabshimane,390,ADS,1,7.94
babylabshimane,391,IDS,1,7.67
babylabuclajohnson,392,IDS,1,8.63
babylabuclajohnson,393,ADS,1,9.93
babylabuclajohnson,394,IDS,1,6.59
babylabuclajohnson,395,IDS,1,17.09
babylabuclajohnson,396,ADS,1,10.34
