lab,subid,trial_num,trial_type,age_mo,looking_time
infantllmadison,mb003,1,IDS,9.3305954825462,5.726
infantllmadison,mb004,1,IDS,8.837782340862423,13.194
infantllmadison,mb005,1,ADS,8.147843942505133,15.768
infantllmadison,mb006,1,ADS,11.696098562628336,13.198
infantllmadison,mb008,1,ADS,8.870636550308008,8.802
infantllmadison,mb009,1,IDS,10.480492813141684,17.6
infantllmadison,mb010,1,ADS,10.77618069815195,9.398
infantllmadison,mb011,1,IDS,9.757700205338809,14.883
infantllmadison,mb012,1,IDS,6.997946611909651,6.559
infantllmadison,mb013,1,ADS,8.016427104722792,15.712
infantllmadison,mb014,1,IDS,8.706365503080082,14.318
infantllmadison,mb015,1,IDS,13.305954825462011,17.602
infantllmadison,mb016,1,ADS,8.706365503080082,9.503
infantllmadison,mb017,1,ADS,13.305954825462011,11.872
infantllmadison,mb019,1,IDS,10.4476386036961,16.939
infantllmadison,mb020,1,ADS,13.79876796714579,17.115
infantllmadison,mb021,1,ADS,9.100616016427104,8.057
infantllmadison,mb022,1,IDS,10.841889117043122,16.575
infantllmadison,mb023,1,ADS,9.921971252566737,16.616
infantllmadison,mb024,1,IDS,11.761806981519507,4.391
infantllmadison,mb025,1,IDS,8.344969199178644,16.224
infantllmadison,mb026,1,ADS,11.630390143737166,6.501
infantllmadison,mb027,1,ADS,11.630390143737166,15.678
infantllmadison,mb028,1,ADS,10.053388090349076,12.07
infantllmadison,mb029,1,IDS,13.47022587268994,16.355
infantllmadison,mb030,1,IDS,9.3305954825462,5.449
infantllmadison,mb031,1,ADS,12.84599589322382,5.448
infantllmadison,mb032,1,IDS,13.075975359342916,18
infantllmadison,mb033,1,ADS,6.04517453798768,10.957
infantllmadison,mb034,1,IDS,10.97330595482546,9.272
infantllmadison,mb035,1,IDS,11.991786447638605,13.455
infantllmadison,mb036,1,ADS,13.1088295687885,NA
infantllmadison,mb037,1,IDS,9.88911704312115,9.863
infantllmadison,mb038,1,ADS,6.406570841889117,14.948
infantllmadison,mb039,1,IDS,9.69199178644764,15.168
infantllmadison,mb040,1,IDS,12.09034907597536,18
infantllmadison,mb041,1,IDS,6.833675564681725,9.229
infantllmadison,mb042,1,ADS,6.6036960985626285,16.344
infantllmadison,mb043,1,IDS,8.739219712525667,18
infantllmadison,mb044,1,IDS,6.11088295687885,10.99
infantllmadison,mb045,1,ADS,10.283367556468171,4.909
infantllmadison,mb046,1,ADS,12.254620123203283,15.62
infantllmadison,mb047,1,IDS,12.41889117043121,4.16
infantllmadison,mb048,1,IDS,6.636550308008213,15.113
infantllmadison,mb049,1,IDS,11.696098562628336,17.028
infantllmadison,mb050,1,ADS,9.921971252566737,13.646
infantllmadison,mb051,1,IDS,9.659137577002053,18
infantllmadison,mb052,1,ADS,12.583162217659138,6.599
infantllmadison,mb053,1,IDS,12.15605749486653,6.968
infantllmadison,mb054,1,ADS,7.5564681724846,17.209
infantllmadison,mb055,1,ADS,12.35318275154004,11.222
infantllmadison,mb056,1,IDS,7.786447638603696,11.514
infantllmadison,mb058,1,ADS,14.2258726899384,13.783
infantllmadison,mb059,1,ADS,10.250513347022586,11.238
infantllmadison,mb060,1,ADS,7.326488706365503,14.026
infantllmadison,mb061,1,ADS,7.359342915811088,15.392
infantllmadison,mb062,1,IDS,7.753593429158111,15.023
infantllmadison,mb063,1,IDS,14.160164271047227,17.137
infantllmadison,mb064,1,IDS,10.841889117043122,14.045
infantllmadison,mb065,1,ADS,14.390143737166325,12.541
infantllmadison,mb066,1,IDS,14.882956878850102,7.6
infantllmadison,mb067,1,ADS,14.784394250513348,6.138
infantllmadison,mb068,1,IDS,13.79876796714579,12.911
infantllmadison,mb069,1,ADS,14.455852156057494,4.719
infantllmadison,mb070,1,IDS,13.568788501026694,7.598
infantllmadison,mb071,1,ADS,6.209445585215605,8.998
infantllmadison,mb072,1,ADS,14.850102669404516,5.784
infantllmadison,mb073,1,IDS,13.831622176591376,14.862
infantllmadison,mb074,1,ADS,14.915811088295689,12.043
infantllmadison,mb075,1,IDS,14.620123203285422,6.888
infantllmadison,mb076,1,ADS,9.396303901437372,16.041
infantllmadison,mb077,1,IDS,11.433264887063656,18
infantllmadison,mb078,1,ADS,13.700205338809036,11.695
infantllmadison,mb079,1,IDS,7.260780287474333,13.43
infantllmadison,mb080,1,IDS,12.681724845995891,15.206
infantllmadison,mb081,1,ADS,13.174537987679672,5.486
infantllmadison,mb082,1,IDS,12.550308008213552,8.882
infantllmadison,mb083,1,ADS,14.35728952772074,2.584
infantllmadison,mb084,1,ADS,9.724845995893224,11.157
infantllmadison,mb085,1,IDS,8.607802874743326,3.591
infantllmadison,mb086,1,ADS,6.143737166324435,6.79
infantllmadison,mb087,1,IDS,10.546201232032857,6.319
infantllmadison,mb088,1,ADS,10.151950718685832,16.157
infantllmadison,mb089,1,IDS,9.659137577002053,18
infantllmadison,mb090,1,ADS,6.406570841889117,3.729
infantllmadison,mb091,1,ADS,9.462012320328542,12.632
infantllmadison,mb092,1,IDS,6.373716632443532,17.359
infantllmadison,mb093,1,ADS,8.706365503080082,13.882
infantllmadison,mb094,1,IDS,6.7351129363449695,13.227
infantllmadison,mb095,1,ADS,10.283367556468171,5.957
infantllmadison,mb096,1,ADS,6.373716632443532,18
infantllmadison,mb097,1,IDS,7.5564681724846,5.921
infantllmadison,mb098,1,ADS,6.176591375770021,13.576
infantllmadison,mb003,2,ADS,9.3305954825462,4.492
infantllmadison,mb004,2,ADS,8.837782340862423,4.007
infantllmadison,mb005,2,IDS,8.147843942505133,16.481
infantllmadison,mb006,2,NA,11.696098562628336,NA
infantllmadison,mb008,2,IDS,8.870636550308008,15.186
infantllmadison,mb009,2,ADS,10.480492813141684,18
infantllmadison,mb010,2,IDS,10.77618069815195,4.183
infantllmadison,mb011,2,ADS,9.757700205338809,NA
infantllmadison,mb012,2,ADS,6.997946611909651,16.017
