country,year,infant_mortality,life_expectancy,fertility,population,gdp,continent,region
Albania,2015,12.5,78,1.78,2896679,NA,Europe,Southern Europe
Algeria,2015,21.9,76.4,2.71,39666519,NA,Africa,Northern Africa
Angola,2015,96,59.6,5.65,25021974,NA,Africa,Middle Africa
Antigua and Barbuda,2015,5.8,76.4,2.06,91818,NA,Americas,Caribbean
Argentina,2015,11.1,76.5,2.15,43416755,NA,Americas,South America
Armenia,2015,12.6,74.7,1.41,3017712,NA,Asia,Western Asia
Australia,2015,3,82.3,1.88,23968973,NA,Oceania,Australia and New Zealand
Austria,2015,2.9,81.3,1.5,8544586,NA,Europe,Western Europe
Azerbaijan,2015,27.9,72.9,1.89,9753968,NA,Asia,Western Asia
Bahamas,2015,9.9,73.7,1.88,388019,NA,Americas,Caribbean
Bahrain,2015,5.3,79.1,2.03,1377237,NA,Asia,Western Asia
Bangladesh,2015,30.7,70.4,2.12,160995642,NA,Asia,Southern Asia
Barbados,2015,12,75.7,1.86,284215,NA,Americas,Caribbean
Belarus,2015,3.4,71,1.51,9495826,NA,Europe,Eastern Europe
Belgium,2015,3.3,80.5,1.86,11299192,NA,Europe,Western Europe
Belize,2015,14.2,71.7,2.6,359287,NA,Americas,Central America
Benin,2015,64.2,62.3,4.69,10879829,NA,Africa,Western Africa
Bhutan,2015,27.2,72.7,2.15,774830,NA,Asia,Southern Asia
Bolivia,2015,30.6,73.2,3.14,10724705,NA,Americas,South America
Bosnia and Herzegovina,2015,5.1,78.9,1.32,3810416,NA,Europe,Southern Europe
Botswana,2015,34.8,58.7,2.54,2262485,NA,Africa,Southern Africa
Brazil,2015,14.6,74.4,1.78,207847528,NA,Americas,South America
Brunei,2015,8.6,77.1,1.96,423188,NA,Asia,South-Eastern Asia
Bulgaria,2015,9.3,74.8,1.57,7149787,NA,Europe,Eastern Europe
Burkina Faso,2015,60.9,60.9,5.43,18105570,NA,Africa,Western Africa
Burundi,2015,54.1,61.4,5.85,11178921,NA,Africa,Eastern Africa
Cambodia,2015,24.6,69.4,2.8,15577899,NA,Asia,South-Eastern Asia
Cameroon,2015,57.1,59.4,4.63,23344179,NA,Africa,Middle Africa
Canada,2015,4.3,81.7,1.68,35939927,NA,Americas,Northern America
Cape Verde,2015,20.7,72.9,2.22,520502,NA,Africa,Western Africa
Central African Republic,2015,91.5,49.6,4.2,4900274,NA,Africa,Middle Africa
Chad,2015,85,57.4,6.04,14037472,NA,Africa,Middle Africa
Chile,2015,7,79.4,1.8,17948141,NA,Americas,South America
China,2015,9.2,76.2,1.57,1376048943,NA,Asia,Eastern Asia
